"","cluster","sampleText"
"1",1,"longterm plan on what we need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used"
"2",2,"just for pets anymore going to eliminate the need of you carrying your wallet the implantable technology one company is using on its employees how"
"3",3,"today at were cooking the new sandwich and the new grilled chicken sandwich this is beautiful yum this right here its game changer new taste new style its just amazing across the board that is pretty sandwich ooh its its sweet oh my gosh"
"4",4,"everyone guess who just solved unsolvable case wait what you guys figured out who pulled the first essex bank job yep we realized we never checked the daughters alibi she at the softball trip she had access to the plans and then she just confessed right we arrested woman today because we"
"5",5,"vote in favor of the motion to proceed will mean deep cuts to medicaid maybe even deeper than in the house bill it wont be an easy lift going forward but leadership was able to get past the first hurdle and will have the opportunity to keep working at it to keep"
"6",6,"tax and then the measure would go to conference to cut deal with the house after the procedural vote majority leader mitch mcconnell pledged to keep working to get there and noted democrats struggled with passing we watched similar"
"7",7,"whether this suspension sticks or the schools are allowed to open again i did speak with district officials who told me student"
"8",8,"assisting other courts we first told you about this in may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live"
"9",9,"his family ramirez was coming to the states to work and raise enough money to be able to marry his girlfriend and allegedly go"
"10",10,"they say it appears nothing has been done were speaking up for the neighborhood the kind of neighborhood we want our children to grow up in the pastor leads the charge in newly elected councilman shaw accountable he hosted forum at his church shaw was one of three candidates who promised"
"11",11,"of the horrific human smuggling truck tragedy there are three still at baptist health hospitals however there are more patients at other hospitals we are now hearing from the mother of one of the victims she is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he"
"12",12,"it and replace it with something else without paying terrible political price we found it yet and im not sure we will sources say one idea that has been floated by leaders is passing socalled skinny bill limited to repealing individual and"
"13",13,"approved or not she spoke to newspaper from new way low laredo she told them her son had left with his uncle in search of quality of life in the united states but on saturday night her sons mile trip to san antonio texas took deadly turn as close as people being smuggled"
"14",14,"soldier who was pictured kissing the isis flag has pleaded not guilty to supporting the group he was indicted last friday court documents claim he met with undercover agents he believed were part of the terror group he allegedly provided them with classified military information drone military equipment and training and kansas city man who tried to set"
"15",15,"an army post isis was sentenced to years in federal prison he was arrested outside the fort when he made the final connections on the device he believed would arm it fort riley is the home of"
"16",16,"says that cerna and his uncle allegedly paid to coyotes to get on the trailer that price according to border control forces who provided fox san antonio with previous pictures of cases is higher than what is normally charged the going rate is between and for mexican nationals central americans are normally charged to brazilians to and the chinese pay the highest price at to to get to"
"17",17,"price according to border control forces who provided fox san antonio with previous pictures of cases is higher than what is normally charged the going rate is between and for mexican nationals central americans are normally charged to brazilians to and the chinese pay the highest price at to to get to the united states now that mother was granted humanitarian visa and is on her way to san antonio her son earlier today woke up from his coma his uncle is now out of the hospital and in custody in the meantime homeland security investigations is asking for anyone that has any information to come forward and call their anonymous tip line because every victim"
"18",18,"to make that microchip microchip to be much more safer then i believe we should have their own storage device the chip is good the size of grain of rice and its inserted between your thumb and index"
"19",19,"while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started"
"20",20,"can lead to changes in your health i have sneeze attack just about every day i notice it when i was working how just being around your own home can often lead to more allergies and the simple steps you can take to keep them away tomorrow"
"21",21,"still at stinson really close at and san antonio but still that is too warm for this time of night lets get out there see where these storms fire up they fired up starting to move toward the north one near one towards the area little bit of signal for hail coming in on some of these this one here as little bit of hail signature but its week moving away from county but we could really use more rain were not seeing much of it coming our way the next"
"22",22,"would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this"
"23",23,"mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this mother is on her way to find her son today as ramirez waited for word from the us government to see if her humanitarian visa would be approved or not she spoke to newspaper from new way low laredo she told them her son had left with his uncle in search"
"24",24,"on some of them last month president trump signed an executive order to substantially increase the number of apprenticeships in the united states the administration is also working on plans to address the high cost of prescription drugs slogans are great but democrats need to connect with american people by"
"25",25,"in your health i have sneeze attack just about every day i notice it when i was working how just being around your own home can often lead to more allergies and the simple steps you can take to keep them away tomorrow on fox news at nine still to come young engineer steering the car industry with her unique vision how her creations are life behind the wheel little easier plus change is coming to who the university just announced as its new president problems we all have them the first step to dealing with problem is admitting it exists it seems that the democrats are taking that first step when you lose an election with someone who has popularity you look in the mirror and say what did we do wrong and the number one thing that we did wrong is we tell people what we stood for the democrats do appear to be learning from their losses in the presidential election they understand that they have largely fallen out of touch with the american people recent poll found that only of americans think the democrat part stands for something says it just stands against president trump what is the democratic"
"26",26,"pence broke the tie allowing the health care reform effort to pass its first procedural hurdle moderate republican susan collins and lisa murkowski reacted we had two republicans go against us which is very sad i believe now we will over the next week or two come up with plan going to be really really wonderful for the"
