"cluster","sampleText","num_transcripts"
4,"john mccain traveled back to washington to vote yes on working together to come up with something we've been spinning our wheels on too many important issues because we keep trying to find a way to win without help from across the aisle",18
1,"a hot day today we reached a high of 94 in tampa a few isolated showers and thunderstorms have been popping up today but with drier air in place the rain chance drops to 20 and even lower heading into the overnight hours an area of high pressure continues to be across the florida peninsula with southwest to west winds i'm veronica cintron here's a look at the top stories this hour on bay news 9 st petersburg mayor rick kriseman and former mayor rick baker faced off in a one-on-one debate tonight- hosted by bay news 9 and the tampa bay times",14
3,"in st petersburg saundra weathers bay news 9 senate republicans have jumped over the first hurdle to advance their healthcare bill- and it was a close one on this vote the yeas are 50 and the nays are 50 the senate being equally divided the vice president votes in teh affirmative and the motion is agreed to the chamber held a nail-biting vote",10
2,"truth- o-meter is checking the facts tonight's topic voter fraud during a recent discussion on the morning show a fox and friends on of the hosts offered this number quote 5 7 million -- that's how many illegal immigrants might have voted in 2008 allison graves tells us how from politifact politifact's truth- o-meter rated this claim so we rated this claim false politifact has debunked multiple claims about massive voter fraud and just like the others this one is not true so basically fox and friends cohost is citing a conclusion reached by just facts just facts is a libertarian-slash- conservative think tank and they actually used data from a very controversial study that used a very small sample size of respondents to reach its conclusion irs which supplied the underlying data for that survey said that it shouldn't be used to make any conclusions about how many non-citizens had voted so the real big problem here is the small sample size that fox and friends is de facto referring to but furthermore we also looked at non-citizens voting and any other evidence we could find about that and what we did see is that there are instances of non-citizens voting but it's just not happening at a large scale like what's being referred to here so there's really no evidence to this claim so we rated it false you can get more",6
34,"mike pence to step in as the tiebreaker mr mccain one of the yes votes ca from john mccain who has been recovering from surgery at home in arizona but insisted on making it back to washington to cast his vote i have had so many people say such nice things about me i think some of you must have me confused with someone else it was",6
5,"publicly since his diagnosis and called for bipartisanship moving forward all we've managed to do is make more popular a policy that wasn't very popular when we started trying to get rid of it i voted for the motion to proceed to allow debate to continue and amendments to be offered i will not vote for this bill as it is today it's a shell of a bill right now we all know that the president took to twitter senjohnmccain- thank you for coming to d c for such a vital vote congrats to all rep we can now deliver grt healthcare to all americans don't tell lies kill the bill protestors interrupted the floor of the senate just before the vote right now senators have 20 hours of debate senator bill nelson",5
6,"the senate will now go through what's called a vote-arama lawmakers can propose amendments and make changes there's also a possibility of a full repeal of obamacare as well from the web center i'm roy de jesus senator marco rubio voted yes today senator bill nelson voted no for more on today's health care reform vote visit baynews9- dot-com it was a busy day for senators the president's former campaign manager -- paul manafort -- met with intelligence commitee staff today that meeting -- was about alleged russian meddling in last year's election the senate judiciary committee also subpoenaed manafort last night he hasn't said whether he'll testify senator dianne feinstein said manafort could be refuses in contempt if he panel met with the meantime -- a house president's son in law jared kushner today he answered more questions about russia kushner also released an 11-page statement and denied collusion with the russian government kushner said he had four meetings with russians last year but insists he discussed nothing improper",5
15,"out in washington today as senate republicans continue their efforts to repeal and replace obamacare after a failed attempt earlier this summer with mounting pressure from the white house the senate voted on a procedural motion to begin debate on new health care legislation emily schmidt is in washington with the latest on the on-going health care battle senate republicans are moving forward with their attempt to fulfill a long-held to repeal and replace obamacare the senate passing a motion to begin debate on the house-passed health care bill the high-stakes vote had been in peril for days with democrats united in their opposition sen chuck schumer -d- minority a vote to proceed with the motion to debate is a permission slip to to slash medicaid hurt millions and at least two republicans holding out the vote coming during the dramatic return of republican senator john mccain who traveled back to washington tuesday after being diagnosed with a rare brain cancer sen john mccain -r- i stand here today looking a little worse for wear i'm sure i have a refreshed appreciation for the protocalsprotocols and customs of this body and for the other 99 privileged souls who've been elected to the senate the plan now gets complicated senators will vote on several amendments that would strip the house health care bill language - including who've been elected to the senate the plan now gets complicated senators will vote on several amendments that would strip the house health care bill language - including the 2015 repeal bill but the final version is still very much up in the air on the other end of pennsyania avenue pressure is mounting from president trump who spent the morning tweeting on health care and is taking a more aggressive approach on the topic pres donald",5
7,"from the palladium theater downtown hosted by bay news 9 and the tampa bay times it aired live right here at 7 mayor rick kriseman is vying to keep his job come august former mayor rick baker wants",4
8,"a bi-partisan hero's welcome from his colleagues in the u-s senate tktktk a week after revealing that senator john mccain--gettin g a bi-partisan hero's welcome from his colleagues in the u-s senate tktktk a week after revealing that he's fighting brain cancer back in time to cast his vote determining te o obamacare the senate ultimately deciding to move forward they now move on to debate the repeal--and possible replacement-- of president obama's signature healthcare law the most recent abc washingto n post poll shows americans prefer obamacare to a gop replacement two-to-one -- sot - all we've managed to do is make more popular a policy that wasn't very popular when we started trying to get rid of it protesters against repeal making their voices heard around the capitol and even on the senate floor-- nats-- --as the fight played out among senators sot - a vote in favor of the motion to proceed will mean deep cuts to medicaid maybe even deeper than in the house bill it will mean people with preexisting conditions will be left high and dry president trump--meetin g with the lebanese prime minister today--but keeping a close eye on that key vote on his biggest campaign promise sot - truly great health care for the american people we look forward to that this was a big step megan hughes there are still a lot of uncertainties as to what the final measure will look like senator mcconnell has indicated he's open to exploring amendments--a nd it will all play out on the senate floor this morning president trump's son in law and senior adviser",4
