"cluster","sampleText","num_transcripts"
139,"be reading your comments tonight on nightbeat come join us at 00 on our sister station kbcw 44 cable 12 what should i watch show me sports it's so fluffy look at that fluffy unicorn he's so fluffy i'm gonna die your voice is awesome the x1 voice remote xfinity the future of awesome food water internet we need it to live but what we don't need are surprises like extra monthly fees i see you fee played by legendary actress anjelica huston you got me mark we just want fast internet for one simple rate for all the streaming and the shopping and the newsing but most of all for the this internet for one everyday simple price and no extra monthly fees",14
6,"capitol hill today to cast the 50th vote for debate on the bill the arizona republican recently had brain surgery after being diagnosed with an aggressive brain tumor he was welcomed to the senate floor with a standing ovation applause after voting mccain addressed the senate asking lawmakers to work together for the good of the american public he stressed that a lot of work needs to be done sen john mccain r- we republicans have looked for a way to end it and replace it with something else without paying a terrible political price we haven't found it yet and i'm not sure we will all we've managed to do is make more popular a policy that wasn't very popular when we started trying to get rid of it i voted for the motion to proceed to allow debate to continue and amendments to be offered i will not vote for this bill as it is today",10
1030,"enough votes to win the tie breaker mccain then took the floor gave his colleagues a tongue-lashing on diplomacy 21-33 let's trust each other let's return to regular order we've been spinning our wheels on too many important issues because we keep trying to find a way to win without help from across the aisl e white flash 44- 51 we're getting nothing done my friends we're getting nothing done",9
393,"that are filed are being ignored airlines are being slapped with fines from federal regulators the internet changed how lent's discovered and now centurylink is changing the way you get internet we'll help you find the speed you need to surf stream or become an internet sensation yourself get started with up to 40 megs for 20 dollars a month for one year when bundled with a qualifying home phone plan speed may not be available in your area centurylink your link to what's next women in stem careers 23 new badges will be added related to science technology engineering math and the outdoors now girl scouts can earn badges through activities like designing the girl scouts want to see more women in stem careers 23 new badges will be related to science technology engineering math and the great outdoors now they can earn badges through activities like designing model racecars writing code programming robots going on environmentally conscious camping trips",8
57,"severe weather alerts and more download the app for free on any device we'll be right back end wx end once again we saw more thunderstorms today in the higher elevations with more seasonable heat in the interior the concerns with thunderstorms remains new fire starts from lightning and gusty winds fanning already present fires we will see another round of mountain thunderstorms wednesday but quiter conditions by thursday and friday we are also tracking another heat wave for the interior thursday and into next week heat will likely peak around monday or next tuesday you're watching krcr news channel 7 at",7
249,"of cars on the right hand side that's your southbound traffic looking better stay with us back after a break who are these people the energy conscious people among us say small actions can add up to something humongous a little thing here a little thing there starts to feel like a badge maybe millions can wear who are all these caretakers advocates too turns out it's californians it's me and it's you don't stop now it's easy to add to the routine join energy upgrade california and do your thing there's a big change for tourists visiting the vatican this summer",7
404,"area -- high winds and lightning are also a threat the chance for storms sticks around through thursday but by senate republicans are moving forward with their attempt to fulfill a long- held promise still ahead the latest g-o-p move in an attempt to repeal and replace obamacare you're watching six on your side break you're watching today's 6 live at 00 attorney general jeff sessions was one of president trump's earliest and most loyal supporters during the campaign at the time he was the first senator to endorse the outsider candidate but in recent months their relationship has become strained the president growing more frustrated with sessions' decision to recuse himself from the russia investigation the president",7
1029,"madeleine rivera news 12 connecticut a dramatic day in the u s senate where protesters made their voices heard before a key vote on health care reform vice president mike pence cast the tie breaking vote on a motion to allow debate to begin on a republican plan to repeal and replace the affordable care act two republicans voted no but senator john mccain returned to washington",7
4,"the senate to not only speak about the importance of bipartisan unity but his health and his future in the senate what have we to lose of our incapacity let's trust each other let's return to regular order we've been spinning our wheels on too many important issues because we keep trying to find a way to win without help from across the aisle that's an approach that's been employed by both sides mandating legislation from the top down without any support from the other side with all the parliamentary maneuvers that requires we're getting nothing done my friends we're getting nothing done it is an honor applause mccain cast a necessary republican vote for the motion after two gop senators -- susan collins and lisa murkowski -- sided with all democrats in opposition",6
10,"health care reform passed the test to begin debate while senator john mccain seized the opportunity to call for bipartisanship less than a week after a brain cancer diagnosis the 80 year old senator came back to washington and cast a vote he then spoke publicly for the first time since the diagnosis let's trust each other let's return to regular order we've been spinning our wheels on too many important issues because we keep trying to find a way to win without help from across the aisle we're one step closer to liberating our citizens from this obamacare nightmare",6
