"id","contentId","text","cluster","start_line","end_line","start_timestamp","end_timestamp","station_id","segmentLength"
96,"96 2","place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm",1,"33520572","33520585","10/10/2017 21:36:24","10/10/2017 21:36:33","WALA--10-10-2017-21-31-00",71
82,"82 2","the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting",2,"30218983","30219005","10/10/2017 17:06:11","10/10/2017 17:06:53","KYTX--10-10-2017-17-01-00",87
78,"78 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up",3,"24787257","24787264","10/10/2017 22:05:00","10/10/2017 22:05:11","KXMC--10-10-2017-22-05-00",36
75,"75 1","of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were",4,"24785158","24785163","10/10/2017 17:02:22","10/10/2017 17:02:29","KXMC--10-10-2017-17-02-00",35
70,"70 1","softball trip she had access to the plans and then she just confessed right we arrested woman today because we are feminists so does this mean you like each other now yep still out matter it",5,"36975971","36975984","10/10/2017 16:47:32","10/10/2017 16:47:43","KVOA--10-10-2017-16-45-00",35
63,"63 4","out of the hospital and in custody in the meantime homeland security investigations is asking for anyone that has any information to come forward and call their anonymous tip line because every victim will be need to do find every",6,"25200851","25200859","10/10/2017 22:08:26","10/10/2017 22:08:40","KTWO--10-10-2017-22-04-00",39
63,"63 2","colorado to help his family get back home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico",7,"25200775","25200780","10/10/2017 22:06:26","10/10/2017 22:06:32","KTWO--10-10-2017-22-04-00",29
61,"61 4","some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the second murder of the entire year in fayette county both taking place this month the texas education agency temporarily suspending local charter school just few weeks before classes start we reported before on problems at the san antonio school for inquiry and creativity that have caught the teas attention michael locklear joins us with the concerns and the next steps parents are wondering what to do with school so close to starting the tea sent this letter to the district the san antonio school for inquiry and creativity as soon as she got this letter the superintendent stepped down the texas education agency has been investigating the district since complaints surfaced in february and just learned tea found",8,"25198380","25198438","10/10/2017 17:06:55","10/10/2017 17:08:42","KTWO--10-10-2017-17-00-00",241
62,"62 4","may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the second murder of the entire year in fayette county both taking place this month the texas education agency temporarily suspending local charter school just few weeks before classes start we reported before on problems at the san antonio school for inquiry and creativity that have caught the teas attention michael locklear joins us with the concerns and the next steps parents are wondering what to do with school so close",8,"25200117","25200175","10/10/2017 18:07:24","10/10/2017 18:09:37","KTWO--10-10-2017-18-00-00",242
96,"96 3","issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed russell cause of death not clear the texas rangers are now helping with the investigation this is only the second murder of the entire year in fayette county both taking place this month the texas education agency temporarily suspending local charter school just few weeks before classes start we reported before on problems at the san antonio school for inquiry and creativity that have caught the teas attention michael locklear joins us with the concerns and the next steps parents are wondering what to do with school so close to starting the tea sent this letter to",8,"33520602","33520659","10/10/2017 21:39:31","10/10/2017 21:40:57","WALA--10-10-2017-21-31-00",242
61,"61 3","haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this",9,"25198360","25198368","10/10/2017 17:06:17","10/10/2017 17:06:28","KTWO--10-10-2017-17-00-00",39
62,"62 3","truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got",10,"25200040","25200087","10/10/2017 18:05:28","10/10/2017 18:06:38","KTWO--10-10-2017-18-00-00",168
63,"63 5","issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm plan on what we need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this issue karnes county those helping",10,"25200889","25200945","10/10/2017 22:09:48","10/10/2017 22:11:53","KTWO--10-10-2017-22-04-00",235
83,"83 2","and south america were also learning pyle transportation is now under investigation the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm plan on what we need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the",10,"86881716","86881755","10/10/2017 16:36:03","10/10/2017 16:37:38","NECN--10-10-2017-16-28-00",271
93,"93 2","joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm plan on what we need",10,"33518311","33518351","10/10/2017 17:30:07","10/10/2017 17:30:43","WALA--10-10-2017-17-21-00",180
98,"98 2","tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it is the result of the railroad of the homeless population the reason they are not eligible for bonding out or bonds is because they have reportable address unfortunately at this point the way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells",10,"33520789","33520822","10/10/2017 21:47:17","10/10/2017 21:47:58","WALA--10-10-2017-21-38-00",150
59,"59 1","is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria says she allowed her son to come to",11,"11843729","11843739","10/10/2017 18:38:01","10/10/2017 18:38:25","KTVODT2--10-10-2017-18-31-00",47
47,"47 2","night her sons mile trip to san antonio texas took deadly turn as close as people being smuggled in this trailer were exposed to high temperatures and no air for hours leaving ten dead and others",12,"44011578","44011586","10/10/2017 16:17:16","10/10/2017 16:17:24","KSWB--10-10-2017-16-14-00",35
46,"46 5","this smuggling ring virgin fox news at nine vigil being held in houston for victims of the smuggling tragedy some speakers blame the political climate of the state and the conditions of latin",13,"69670079","69670086","10/10/2017 16:21:11","10/10/2017 16:21:38","KSTU--10-10-2017-16-13-00",32
76,"76 2","homeland security investigations is asking for anyone that has any information to come forward and call their anonymous tip line because every victim will be need to do find every single person who took part of this smuggling ring virgin fox news at nine vigil being held in houston for victims of the smuggling tragedy some speakers blame the political climate of the state and the conditions of latin and south america were also learning pyle transportation is now under investigation the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox",14,"24786797","24786822","10/10/2017 18:05:45","10/10/2017 18:06:29","KXMC--10-10-2017-18-02-00",128
85,"85 2","up from his coma his uncle is now out of the hospital and in custody in the meantime homeland security investigations is asking for anyone that has any information to come forward and call their anonymous tip line because every victim will be need to do find every single person who took part of this smuggling ring virgin fox news at nine vigil being held in houston for victims of the smuggling tragedy some speakers blame the political climate of the state and the conditions of latin and south america were also learning pyle transportation is now under investigation the company linked to the truck where the immigrants were found however the owner brian pyle said he had no idea what the truck being used for all new tonight overcrowding concerns at the county jail its almost at full capacity and officials blame the homeless population fox san antonios camilla joins us live with what the county is doing to fix the ongoing issue camilla ryan its not an easy process right now the county is looking for different resources for help like haven for hope and court programs tonight over inmates are sitting at the county jail higher than average i asked sheriff salazar about it and he says part of it",15,"86884418","86884452","10/10/2017 18:36:40","10/10/2017 18:37:57","NECN--10-10-2017-18-28-00",212
46,"46 4","mother was granted humanitarian visa and is on her way to san antonio her son earlier today woke up from his coma his uncle is now out of the hospital and in custody",16,"69670062","69670068","10/10/2017 16:19:42","10/10/2017 16:20:09","KSTU--10-10-2017-16-13-00",32
45,"45 2","more than were generally coming in the system its probably time to really look at longterm plan on what we need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video",17,"69670007","69670032","10/10/2017 16:16:55","10/10/2017 16:17:33","KSTU--10-10-2017-16-08-00",127
33,"33 2","home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare",18,"36702798","36702811","10/10/2017 21:21:09","10/10/2017 21:22:56","KOKI--10-10-2017-21-18-00",47
40,"40 1","the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this mother is on her way to find her son today as ramirez waited for word from the us government",18,"46475114","46475133","10/10/2017 16:23:06","10/10/2017 16:23:25","KRGV--10-10-2017-16-20-00",61
60,"60 1","his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this mother is on her way to find her son today as ramirez waited",18,"151288016","151288026","10/10/2017 22:17:41","10/10/2017 22:17:55","KTVT--10-10-2017-22-15-00",51
61,"61 1","there are more patients at other hospitals we are now hearing from the mother of one of the victims she is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer that would bring him into the country his american dream turned into nightmare on saturday and now this mother is on her way to find her son today as ramirez waited for word from the us government to see if her humanitarian visa would be approved or",19,"25198177","25198218","10/10/2017 17:01:44","10/10/2017 17:02:39","KTWO--10-10-2017-17-00-00",139
64,"64 1","mother of one of the victims she is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they",19,"29603435","29603449","10/10/2017 17:15:20","10/10/2017 17:15:34","KULR--10-10-2017-17-13-00",76
82,"82 1","now hearing from the mother of one of the victims she is waiting in new way low laredo for us authorities to grant her visa to see her son in san antonio virgin explains he was trying to get to chicago or colorado to help his family get back home maria says she allowed her son to come to the united states with his year uncle the two would go cross mexico and cross the border at laredo texas where they would jump trailer",19,"30218873","30218893","10/10/2017 17:03:16","10/10/2017 17:03:48","KYTX--10-10-2017-17-01-00",83
28,"28 1","way the system is set up the most appropriate place for them they are more at risk if you will of disappearing into the wind and then got fugitive at large judicial services tells me arrests are up due to the work of the violent crimes task force its program that goes after gang members drugs and weapons they are arresting close to individuals month more than were generally coming in the system its probably time to really look at longterm plan on what we need to do to be more proactive so kids become gang members and they have access to services and the opportunity for good jobs haven for hope and the felony resources are being used to reduce the number at the jail the program is aimed at assisting other courts we first told you about this in may and sheriff salazar says because of this issue karnes county those helping house some of the inmates here monitors are also an option were going to continue following this story and bring you the latest reporting downtown fox news at nine robert price at the live desk with some incredible video being released lie police in dallas pay attention to the red circle driver headed for the officers he shines his flashlight realizes the car is not going to stop so the officer runs out of the way just in time decides the driver he was dealing with is mall potatoes hands him back his license and says get out of here manual good and chases after the driver he did catch up to the driver and placed him under arrest now lets go to fayette county near schulenburg the sheriffs office has arrested this man on charge of murder says he killed",20,"43465941","43466087","10/10/2017 17:11:59","10/10/2017 17:13:45","KMTV--10-10-2017-17-04-00",294
22,"22 1","pack your bags were going to tampa tight cant wait guys im out of not doctor an investigation see only on fox news at nine virgin uncovers new details about",21,"27590138","27590144","10/10/2017 17:05:52","10/10/2017 17:05:59","KHQA--10-10-2017-17-04-00",29
62,"62 1","grand so rosa pack your bags were going to tampa tight cant wait guys im out of not doctor an investigation see only on fox news at nine virgin uncovers",21,"25199902","25199907","10/10/2017 18:01:51","10/10/2017 18:01:57","KTWO--10-10-2017-18-00-00",29
2,"2 1","while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up",22,"106376510","106376516","10/10/2017 16:17:24","10/10/2017 16:17:30","CFNEWS13--10-10-2017-16-15-00",24
37,"37 1","out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what you guys figured out",23,"26348246","26348258","10/10/2017 22:04:29","10/10/2017 22:04:58","KQTV--10-10-2017-22-04-00",57
77,"77 1","gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who just solved unsolvable case wait what",23,"24786699","24786713","10/10/2017 18:03:19","10/10/2017 18:03:41","KXMC--10-10-2017-18-03-00",57
14,"14 1","goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so",24,"27320027","27320038","10/10/2017 16:25:28","10/10/2017 16:25:41","KFXO--10-10-2017-16-23-00",59
90,"90 1","decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he",24,"121466646","121466659","10/10/2017 17:22:42","10/10/2017 17:23:04","WAGA--10-10-2017-17-22-00",58
95,"95 1","its turkey time this is it the final lap dismissed were the top two just us and that stupid freaking schnauzer come on wire fox terrier come on baby the judge has made his decision shut up hold my hand captain hold my hand and best in show goes to the wire fox terrier im gonna live forever charles its been quiet for while everything okay i was gonna chop the heck out of this bastard but then he looked me in the eye he scratched you up real bad he yep he got me good its okay once i started giving him he showed me mercy so were not eating the turkey then obviously not hello everyone guess who",25,"33520097","33520126","10/10/2017 21:20:00","10/10/2017 21:20:51","WALA--10-10-2017-21-20-00",119
1,"1 4","paid to coyotes to get on the trailer that price according to border control forces who provided fox san antonio with previous pictures of cases is higher",26,"106376630","106376636","10/10/2017 16:21:48","10/10/2017 16:21:56","CFNEWS13--10-10-2017-16-12-00",26
46,"46 3","that cerna and his uncle allegedly paid to coyotes to get on the trailer that price according to border control forces who provided fox san antonio with previous pictures of cases is higher",26,"69670044","69670051","10/10/2017 16:18:07","10/10/2017 16:18:38","KSTU--10-10-2017-16-13-00",32
47,"47 3","hometown the family also says that cerna and his uncle allegedly paid to coyotes to get on the trailer that price according to border control forces who provided fox san antonio with previous pictures of cases is higher than what is normally charged the",26,"44011602","44011612","10/10/2017 16:17:42","10/10/2017 16:17:53","KSWB--10-10-2017-16-14-00",43
3,"3 3","cases is higher than what is normally charged the going rate is between and for mexican nationals central americans are normally charged to brazilians to and the chinese pay the highest price at to to get to the united states now that mother was granted humanitarian visa and is on her way to san antonio her son earlier today woke up from his coma his uncle is now out of the hospital and in custody in the meantime homeland security investigations is asking for anyone that has any information to come forward and call their anonymous",27,"90075245","90075284","10/10/2017 19:55:39","10/10/2017 19:56:29","CLTV--10-10-2017-19-48-00",95
